Job Title,Company Name,Location,Work Type,Experience Level,Niveau d'étude
Cyber Security Analyst,Canada Cartage,"Mississauga, Ontario, Canada",Inconnu,100+ years,Inconnu
Threat Analyst 1,Sophos,Canada,Inconnu,Unknown,Inconnu
Cyber Security Specialist,Sobeys,"Calgary, Alberta, Canada",Inconnu,Unknown,Inconnu
Cyber Security Specialist,Sobeys,"Mississauga, Ontario, Canada",Inconnu,Unknown,Inconnu
Cyber Security Specialist,Sobeys,"Dartmouth, Nova Scotia, Canada",Inconnu,Unknown,Inconnu
Info Security Analyst,Astek,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Information Security Engineer,Verra Mobility,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
SOC Analyst L1,GlassHouse Systems,"North York, Ontario, Canada",Inconnu,30+ years,Inconnu
Threat Analyst 2,Sophos,Canada,Inconnu,Unknown,Inconnu
Security Analyst,TRIO - Translational Research in Oncology,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Security Analyst,Accelerant,Canada,Inconnu,Unknown,Inconnu
"New Grad, Cybersecurity",Canadian Nuclear Laboratories,"Chalk River, Ontario, Canada",Inconnu,Unknown,Inconnu
Cyber Security Analyst,Sopra Steria,"Toronto, Ontario, Canada",Inconnu,3+ years,Inconnu
Info Security Analyst,INEAT Canada,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Red Team Operator, Deloitte Global Technology",Deloitte,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Security Analyst,Skyline Group of Companies,"Guelph, Ontario, Canada",Inconnu,Unknown,Inconnu
Security Analyst,TRIO - Translational Research in Oncology,"Edmonton, Alberta, Canada",Inconnu,Unknown,Inconnu
Data Security Analyst,Paymentus,"Richmond Hill, Ontario, Canada",Inconnu,Unknown,Inconnu
Security Analyst,LMI Technologies,"Vancouver, British Columbia, Canada",Inconnu,Unknown,Inconnu
Cyber Security Specialist,Hamilton Barnes 🌳,"Calgary, Alberta, Canada",Inconnu,Unknown,Inconnu
Velocity - Corporate Security Internship/Co-Op - Fall 2025,Scotiabank,"Toronto, Ontario, Canada",Inconnu,Internship,Inconnu
Network Security Engineer,Alstom,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
SOC Analyst (Night),KPMG Canada,"Montreal, Quebec, Canada",Inconnu,Unknown,Inconnu
IT Security Analyst,ITjobs.ca,Greater St. John's Metropolitan Area,Inconnu,40+ years,Inconnu
Junior Information Security Analyst,Caseware,"Toronto, Ontario, Canada",Inconnu,30+ years,Inconnu
Information Security Analyst,Insight Global,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Cyber Security Engineer,J&M Group,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Cyber Security Engineer,D3 Security,"Vancouver, British Columbia, Canada",Inconnu,Unknown,Inconnu
"IAM Security, Specialist",Interac Corp.,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Security Developer, Detection & Response",Robinhood,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Network Security Engineer,ITjobs.ca,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Engineer, IT Security",Raymond James Ltd.,"Vancouver, British Columbia, Canada",Inconnu,Unknown,Inconnu
"Cybersecurity Analyst, Networking",CPA Ontario,"Toronto, Ontario, Canada",Inconnu,3+ years,Inconnu
CYBER SECURITY ANALYST,Durham District School Board,"Whitby, Ontario, Canada",Inconnu,Unknown,Inconnu
SOC Analyst I,eSentire,"Waterloo, Ontario, Canada",Inconnu,Unknown,Inconnu
Workday Security Analyst,neteffects,Canada,Inconnu,Unknown,Inconnu
Senior Cybersecurity Specialist,Durham Region (The Regional Municipality of Durham),"Whitby, Ontario, Canada",Inconnu,Unknown,Inconnu
