Job Title,Company Name,Location,Work Type,Experience Level,Niveau d'étude
"Senior Specialist, Data Scientist",AstraZeneca,"Mississauga, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning (ML) Engineer,Deloitte,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Developer Intern (4 month term - Toronto or Montreal),IBM,"Toronto, Ontario, Canada",Inconnu,Internship,Licence/Bachelor
"Data Scientist, International Analytics",DoorDash,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Data Scientist, Algorithms - Mapping",Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI/ML Engineer,Blueprint,Canada,Inconnu,Unknown,Inconnu
AI / ML Engineer,Veracity Software Inc,"Ontario, Canada",Inconnu,Unknown,Inconnu
"Machine Learning, Optimization. Remote or Hybrid",Autodesk,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI/ML Developer,Senstar,"Waterloo, Ontario, Canada",Inconnu,Unknown,Inconnu
"Software Engineer, Back-End",Grammarly,Greater Vancouver Metropolitan Area,Inconnu,Unknown,Inconnu
"Software Engineer, Frontend",Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Data Scientist Lead, AI and Data - Elevate Program 2025",Deloitte,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Software Engineer,Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI/ML Engineer (Toronto),US Mobile,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning (Ml) Engineer,ITjobs.ca,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Software Engineer, MLOps",Hop Labs,Canada,Inconnu,Unknown,Inconnu
"Software Engineer, Back-End",Grammarly,Greater Victoria Metropolitan Area,Inconnu,Unknown,Inconnu
"Software Engineer I, Entry Level (Fall 2024-Spring 2025) - Toronto",DoorDash,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Data Scientist,Deloitte,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Data Scientist, Causal Inference - New Product Development",Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Software Engineer, Backend (All Levels / All Teams)",DoorDash,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer (AI Agents),Cresta,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Machine Learning, Software Engineer (Remote)",PermitFlow,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,Procore Technologies,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Developer,Autodesk,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,Tiger Analytics,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI/ML/LLM Engineer (Healthcare & Edge AI),Monark,"White Rock, British Columbia, Canada",Inconnu,Unknown,Inconnu
Software Engineer,Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Developer Intern (4 month term - Toronto or Montreal),IBM,"Montreal, Quebec, Canada",Inconnu,Internship,Licence/Bachelor
"Software Engineer, Matching",Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI Engineer,BluWave-ai,"Ottawa, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,Bree,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
"Machine Learning Engineer, Support Experience",Stripe,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Data Scientist - Guest Data Science,lululemon,"Vancouver, British Columbia, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,DeepRec.ai,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,Monark,"White Rock, British Columbia, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,Criteo,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI Software Engineer (Remote),VoyceMe,"Vancouver, British Columbia, Canada",Inconnu,Unknown,Inconnu
"Data Scientist, Algorithms - Rider Pricing (Optimization)",Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Jr. Machine Learning Engineer,"Triunity Software, Inc.","Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Data Scientist,Scotiabank,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Developer,Bally's Interactive,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,WeCloudData,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI Software Engineer,Aspire Software,"Montreal, Quebec, Canada",Inconnu,Unknown,Inconnu
Machine Learning Engineer,Autodesk,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
AI/ML Engineer,ELITS,"Montreal, Quebec, Canada",Inconnu,Unknown,Inconnu
Fullstack Engineer,Lyft,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
Sr. Data Scientist,Deloitte,"Toronto, Ontario, Canada",Inconnu,Unknown,Inconnu
