Job Title,Company Name,Location,Work Type,Experience Level,Niveau d'étude
Senior C# Software Engineer,Société Générale - Africa Technologies & Services,Casablanca Metropolitan Area,Inconnu,Unknown,Inconnu
CBS - Postdoctoral Position: Artificial Intelligence Applied to Multi-Omics Data Integration,UM6P - University Mohammed VI Polytechnic,Morocco,Inconnu,Unknown,Inconnu
CBS - Postdoctoral Position: Artificial Intelligence Applied to Multi-Omics Data Integration,UM6P - University Mohammed VI Polytechnic,Morocco,Inconnu,Unknown,Inconnu
CBS - Postdoctoral Position: Artificial Intelligence Applied to Multi-Omics Data Integration,UM6P - University Mohammed VI Polytechnic,Morocco,Inconnu,Unknown,Inconnu
Business Research - Research Analyst - Casablanca - German Speaker,Infomineo,"arrondissement d'Anfa, Casablanca-Settat, Morocco",Inconnu,Unknown,Inconnu
Salesforce Business Analyst-Rabat,Concentrix Limited Company,"Rabat, Rabat-Salé-Kénitra, Morocco",Inconnu,Unknown,Inconnu
Salesforce Business Analyst-Rabat,Concentrix,"Rabat, Rabat-Salé-Kénitra, Morocco",Inconnu,Unknown,Inconnu
Finance Business Partner,APM Terminals,"Tangier, Tanger-Tetouan-Al Hoceima, Morocco",Inconnu,Unknown,Inconnu
Senior R&D Software Engineer C#,Societe Generale,"Casablanca, Casablanca-Settat, Morocco",Inconnu,Unknown,Inconnu
Data Engineer Spark Scala Senior | Devoteam Maroc Nearshore,Devoteam,"Rabat, Rabat-Salé-Kénitra, Morocco",Inconnu,30+ years,Inconnu
Senior C# Software Engineer,Societe Generale,"Casablanca, Casablanca-Settat, Morocco",Inconnu,Unknown,Inconnu
Data Engineer Expérimenté DBT / SQL / BigQuery,ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Morocco",Inconnu,Unknown,Inconnu
EXPERT ACTIVE DIRECTORY M365,RED TIC,"Skhirat, Rabat-Salé-Kénitra, Morocco",Inconnu,Internship,Bac +5
Analyste Cybersécurité confirmé,Altados by Niji,Casablanca Metropolitan Area,Inconnu,Unknown,Bac +5
Audit Remediation (Security Engineer Expert) / Data Engineer,ALTEN,"Rabat, Rabat-Salé-Kénitra, Morocco",Inconnu,Unknown,Inconnu
Tech Lead Senior – Expertise en Sécurité freelance,IT Road Consulting,Casablanca Metropolitan Area,Inconnu,Unknown,Inconnu
DevOps Engineer,Oracle,"Mechouar, Casablanca-Settat, Morocco",Inconnu,40+ years,Inconnu
Développeur Senior Java Backend,CAPFI Groupe,"Casablanca, Casablanca-Settat, Morocco",Inconnu,Unknown,Inconnu
Développeur Java - Angular (H/F),Inetum,"Mechouar, Casablanca-Settat, Morocco",Inconnu,30+ years,Inconnu
Software Development Manager,Oracle,Agadir Metropolitan Area,Inconnu,Unknown,Inconnu
Data Engineer - H/F,Actimage,"Villeneuve-d’Ascq, Hauts-de-France, France",Inconnu,Unknown,Inconnu
Data Engineer,AXA Investment Managers,"Puteaux, Île-de-France, France",Inconnu,Unknown,Inconnu
Business Analyst (F/H),Genesis Groupe By Audensiel,"Lyon, Auvergne-Rhône-Alpes, France",Inconnu,Unknown,Inconnu
Apprenticeship - Business Analyst,AbbVie,"Rungis, Île-de-France, France",Inconnu,Unknown,Master
Data Scientist H/F – contrat d’alternance,MSD France,"Paris, Île-de-France, France",Inconnu,Unknown,Inconnu
ALTERNANT - Assistant Data Scientist Santé & Prévoyance H/F,Crédit Agricole Assurances,"Paris, Île-de-France, France",Inconnu,Unknown,Bac +3
Ingénieur DevSecOps H/F,SQUAD - Cabinet de conseils et d’expertises,Greater Nantes Metropolitan Area,Inconnu,Unknown,Inconnu
Ingénieur cybersécurité,Albioma,"Puteaux, Île-de-France, France",Inconnu,3+ years,Inconnu
Developer Full Stack,TP Infinity,"Paris, Île-de-France, France",Inconnu,Unknown,Inconnu
Backend Developer - Java,Full Scale,"Job, Auvergne-Rhône-Alpes, France",Inconnu,Unknown,Inconnu
Software Engineer,Gigi,"Paris, Île-de-France, France",Inconnu,Unknown,Inconnu
